Ano,Mês,Dia,Ano,Mês,Dia,Ano,Mês,Dia,Ano,Mês,Dia
2018,maio,22,2017,maio,25,2017,maio,23,2018,maio,22
2018,maio,23,2017,maio,24,2017,maio,22,2018,maio,23
2018,maio,23,2017,maio,25,2017,maio,23,2018,maio,23
2018,maio,23,2017,maio,26,2017,maio,24,2018,maio,23
2018,maio,23,2017,maio,27,2017,maio,25,2018,maio,23
2018,maio,23,2017,junho,15,2017,junho,13,2018,maio,23
2018,maio,24,2017,maio,26,2017,maio,24,2018,maio,24
2018,maio,24,2017,maio,27,2017,maio,25,2018,maio,24
2018,maio,25,2017,maio,27,2017,maio,25,2018,maio,25
2018,maio,25,2017,maio,28,2017,maio,26,2018,maio,25
2018,maio,26,2017,maio,28,2017,maio,26,2018,maio,26
2018,maio,26,2017,maio,31,2017,maio,29,2018,maio,26
2018,maio,26,2017,junho,1,2017,maio,30,2018,maio,26
2018,maio,27,2017,maio,31,2017,maio,29,2018,maio,27
2018,maio,29,2017,maio,31,2017,maio,29,2018,maio,29
2018,maio,29,2017,junho,2,2017,maio,31,2018,maio,29
2018,maio,30,2017,junho,1,2017,maio,30,2018,maio,30
2018,maio,30,2017,junho,2,2017,maio,31,2018,maio,30
2018,maio,31,2017,junho,2,2017,maio,31,2018,maio,31
2018,maio,31,2017,junho,4,2017,junho,2,2018,maio,31
2018,junho,1,2017,junho,3,2017,junho,1,2018,junho,1
2018,junho,1,2017,junho,4,2017,junho,2,2018,junho,1
2018,junho,1,2017,junho,8,2017,junho,6,2018,junho,1
2018,junho,1,2017,junho,9,2017,junho,7,2018,junho,1
2018,junho,1,2017,junho,18,2017,junho,16,2018,junho,1
2018,junho,2,2017,junho,4,2017,junho,2,2018,junho,2
2018,junho,2,2017,junho,8,2017,junho,6,2018,junho,2
2018,junho,2,2017,junho,11,2017,junho,9,2018,junho,2
2018,junho,6,2017,junho,8,2017,junho,6,2018,junho,6
2018,junho,6,2017,junho,9,2017,junho,7,2018,junho,6
2018,junho,6,2017,junho,11,2017,junho,9,2018,junho,6
2018,junho,7,2017,junho,9,2017,junho,7,2018,junho,7
2018,junho,7,2017,junho,10,2017,junho,8,2018,junho,7
2018,junho,7,2017,junho,11,2017,junho,9,2018,junho,7
2018,junho,8,2017,junho,10,2017,junho,8,2018,junho,8
2018,junho,8,2017,junho,11,2017,junho,9,2018,junho,8
2018,junho,8,2017,junho,15,2017,junho,13,2018,junho,8
2018,junho,9,2017,junho,11,2017,junho,9,2018,junho,9
2018,junho,12,2017,junho,14,2017,junho,12,2018,junho,12
2018,junho,12,2017,junho,15,2017,junho,13,2018,junho,12
2018,junho,12,2017,junho,16,2017,junho,14,2018,junho,12
2018,junho,13,2017,junho,15,2017,junho,13,2018,junho,13
2018,junho,13,2017,junho,16,2017,junho,14,2018,junho,13
2018,junho,14,2017,junho,16,2017,junho,14,2018,junho,14
2018,junho,14,2017,junho,17,2017,junho,15,2018,junho,14
2018,junho,15,2017,junho,17,2017,junho,15,2018,junho,15
2018,junho,15,2017,junho,18,2017,junho,16,2018,junho,15
2018,junho,16,2017,junho,17,2017,junho,15,2018,junho,16
2018,junho,16,2017,junho,18,2017,junho,16,2018,junho,16
2018,junho,16,2017,junho,21,2017,junho,19,2018,junho,16
2018,junho,16,2017,junho,22,2017,junho,20,2018,junho,16
2018,junho,19,2017,junho,18,2017,junho,16,2018,junho,19
2018,junho,19,2017,junho,19,2017,junho,17,2018,junho,19
2018,junho,19,2017,junho,21,2017,junho,19,2018,junho,19
2018,junho,20,2017,junho,21,2017,junho,19,2018,junho,20
2018,junho,20,2017,junho,22,2017,junho,20,2018,junho,20
2018,junho,20,2017,junho,23,2017,junho,21,2018,junho,20
2018,junho,21,2017,junho,22,2017,junho,20,2018,junho,21
2018,junho,21,2017,junho,23,2017,junho,21,2018,junho,21
2018,junho,22,2017,junho,23,2017,junho,21,2018,junho,22
2018,junho,22,2017,junho,24,2017,junho,22,2018,junho,22
2018,junho,23,2017,junho,21,2017,junho,19,2018,junho,23
2018,junho,23,2017,junho,22,2017,junho,20,2018,junho,23
2018,junho,23,2017,junho,24,2017,junho,22,2018,junho,23
2018,junho,23,2017,junho,25,2017,junho,23,2018,junho,23
2018,junho,23,2017,junho,30,2017,junho,28,2018,junho,23
2018,junho,25,2017,agosto,27,2017,agosto,25,2018,junho,25
2018,junho,26,2017,junho,21,2017,junho,19,2018,junho,26
2018,junho,26,2017,junho,25,2017,junho,23,2018,junho,26
2018,junho,26,2017,junho,28,2017,junho,26,2018,junho,26
2018,junho,26,2017,junho,29,2017,junho,27,2018,junho,26
2018,junho,26,2017,julho,5,2017,julho,3,2018,junho,26
2018,junho,26,2017,julho,9,2017,julho,7,2018,junho,26
2018,junho,27,2017,junho,28,2017,junho,26,2018,junho,27
2018,junho,27,2017,junho,29,2017,junho,27,2018,junho,27
2018,junho,27,2017,junho,30,2017,junho,28,2018,junho,27
2018,junho,27,2017,julho,1,2017,junho,29,2018,junho,27
2018,junho,27,2017,julho,5,2017,julho,3,2018,junho,27
2018,junho,28,2017,junho,30,2017,junho,28,2018,junho,28
2018,junho,28,2017,julho,1,2017,junho,29,2018,junho,28
2018,junho,28,2017,julho,5,2017,julho,3,2018,junho,28
2018,junho,28,2017,julho,8,2017,julho,6,2018,junho,28
2018,junho,28,2017,julho,9,2017,julho,7,2018,junho,28
